x,y,z,stresses_full_xx,stresses_full_xy,stresses_full_yy,stresses_full_xz,stresses_full_yz,stresses_full_zz,stresses_full_max_shear,stresses_full_cfs_1,stresses_full_cfs_2,stresses_full_cfs_3,stresses_full_cfs_4,von_mises,aftershocksyn
759640.0783812654,3920767.5119837918,-2500.0,-0.24381800609559848,0.47486815009436645,0.6747939332579167,0.033331821192006804,0.02091514022124577,0.00016128452578021728,0.66181536127622476,0.64232123959693677,-0.27795970507713219,0.27795970507713219,-0.64232123959693677,1.1663602102955271,0.0
764640.0783812654,3920767.5119837918,-2500.0,-0.21996552655063126,0.32607043104927846,0.98181882772406182,0.026118128559087392,0.035166263266398663,0.00061938875309876685,0.68489006314106982,0.68206713479213699,-0.041373577492733793,0.041373577492733793,-0.68206713479213699,1.2460217033369052,0.0
699640.0783812654,3925767.5119837918,-2500.0,-0.57258321213614394,-0.78209354556057165,-2.6546984591116258,-0.041988913713829859,-0.1314106541846666,-0.0046227248878690577,1.4620873350825085,-1.5932130138261646,-0.19545524739340114,0.19545524739340114,1.5932130138261646,2.7807280765456324,0.0
704640.0783812654,3925767.5119837918,-2500.0,-0.45916751394217853,-0.6351395560913552,-2.8083139990361379,-0.03304215589142058,-0.13961704651645093,-0.0049093627088980301,1.4890003384130897,-1.5841509260080837,-0.36031175891814726,0.36031175891814726,1.5841509260080837,2.8397041208642992,0.0
709640.0783812654,3925767.5119837918,-2500.0,-0.34858486546808354,-0.44455482516506545,-2.8902016213638011,-0.021785611419807276,-0.14446219068054661,-0.0050917749149135228,1.4875144158942919,-1.5151425215131995,-0.54391440311711858,0.54391440311711858,1.5151425215131995,2.8474110735066125,0.0
714640.0783812654,3925767.5119837918,-2500.0,-0.25138558302216257,-0.21877561416923147,-2.8793960024332228,-0.0086895253972913717,-0.14493471536692212,-0.0051379296001305063,1.4534626519870466,-1.3807027062858119,-0.73374635640213304,0.73374635640213304,1.3807027062858119,2.7966142238559315,0.0
719640.0783812654,3925767.5119837918,-2500.0,-0.17741428165131712,0.027517881928817812,-2.7595145376092458,0.0054588072302250885,-0.14023334276740237,-0.0050218548525461293,1.3845619824585997,-1.1814352772386074,-0.91280071497676718,0.91280071497676718,1.1814352772386074,2.6839248645362117,0.0
724640.0783812654,3925767.5119837918,-2500.0,-0.13375818417268764,0.27428812521377743,-2.5223783020446668,0.019602399902165113,-0.12993663382979573,-0.0047288422109988491,1.2812302199489742,-0.92537605744485163,-1.0611726812685722,1.0611726812685722,0.92537605744485163,2.5115457384196653,0.0
729640.0783812654,3925767.5119837918,-2500.0,-0.1228825756277986,0.49842318182692075,-2.170965660703378,0.032530402452343447,-0.11414258162516726,-0.0042597476303398059,1.1483590220296844,-0.62812973501836988,-1.1587712531416818,1.1587712531416818,0.62812973501836988,2.2889304006105049,0.0
734640.0783812654,3925767.5119837918,-2500.0,-0.14155454350968552,0.67716190017270772,-1.7207640582617316,0.043049607747925843,-0.093535023882845028,-0.0036333011546731582,1.0431638529363834,-0.31145919519525556,-1.1887285536677514,1.1887285536677514,0.31145919519525556,2.0342523010153344,0.0
739640.0783812654,3925767.5119837918,-2500.0,-0.18102390528647,0.7919608053298135,-1.1988495685010305,0.050177588247820357,-0.069345688507957429,-0.0028852410538075125,0.94381928578675378,-0.00040460667673070105,-1.1407304079198333,1.1407304079198333,0.00040460667673070105,1.7755568604318179,0.0
744640.0783812654,3925767.5119837918,-2500.0,-0.22857116054563278,0.83182592126605359,-0.64060917388348571,0.05331021670990143,-0.043207156132078407,-0.0020642111246788461,0.85896779257739742,0.2805039029584242,-1.0133554037478067,1.0133554037478067,-0.2805039029584242,1.5505933698195704,0.0
749640.0783812654,3925767.5119837918,-2500.0,-0.27006990044361107,0.79519171853880632,-0.08473424674332812,0.052319033054014537,-0.01692442474573623,-0.001225107413647699,0.80226005711667081,0.51102957058553977,-0.81470589877998789,0.81470589877998789,-0.51102957058553977,1.4010214351064918,0.0
754640.0783812654,3925767.5119837918,-2500.0,-0.29285042009389772,0.68984314434727778,0.43233765818648118,0.047553286948311194,0.0077818713606574502,-0.00042140181709093274,0.7808531859364245,0.67806353990793156,-0.56110588095376923,0.56110588095376923,-0.67806353990793156,1.3542388087357247,0.0
